Hand,Rank,OrderedRank
A,9,5,2,X,X,17,1
A,9,4,3,X,X,17,1
A,8,6,2,X,X,17,1
A,8,5,3,X,X,17,1
A,8,4,4,X,X,17,1
A,7,7,2,X,X,17,1
A,7,6,3,X,X,17,1
A,7,5,4,X,X,17,1
A,6,6,4,X,X,17,1
A,6,5,5,X,X,17,1
K,3,2,2,X,X,17,1
Q,3,2,2,X,X,17,1
J,3,2,2,X,X,17,1
T,3,2,2,X,X,17,1
9,4,2,2,X,X,17,1
9,3,3,2,X,X,17,1
8,5,2,2,X,X,17,1
8,4,3,2,X,X,17,1
8,3,3,3,X,X,17,1
7,6,2,2,X,X,17,1
7,5,3,2,X,X,17,1
7,4,4,2,X,X,17,1
7,4,3,3,X,X,17,1
6,6,3,2,X,X,17,1
6,5,4,2,X,X,17,1
6,5,3,3,X,X,17,1
6,4,4,3,X,X,17,1
5,5,5,2,X,X,17,1
5,5,4,3,X,X,17,1
5,4,4,4,X,X,17,1
A,K,6,X,X,X,17,1
A,Q,6,X,X,X,17,1
A,J,6,X,X,X,17,1
A,T,6,X,X,X,17,1
A,9,7,X,X,X,17,1
A,8,8,X,X,X,17,1
K,5,2,X,X,X,17,1
K,4,3,X,X,X,17,1
Q,5,2,X,X,X,17,1
Q,4,3,X,X,X,17,1
J,5,2,X,X,X,17,1
J,4,3,X,X,X,17,1
T,5,2,X,X,X,17,1
T,4,3,X,X,X,17,1
9,6,2,X,X,X,17,1
9,5,3,X,X,X,17,1
9,4,4,X,X,X,17,1
8,7,2,X,X,X,17,1
8,6,3,X,X,X,17,1
8,5,4,X,X,X,17,1
7,7,3,X,X,X,17,1
7,6,4,X,X,X,17,1
7,5,5,X,X,X,17,1
6,6,5,X,X,X,17,1
K,7,X,X,X,X,17,1
Q,7,X,X,X,X,17,1
J,7,X,X,X,X,17,1
T,7,X,X,X,X,17,1
9,8,X,X,X,X,17,1
A,A,A,A,K,4,18,1
A,A,A,A,Q,4,18,1
A,A,A,A,J,4,18,1
A,A,A,A,T,4,18,1
A,A,A,A,9,5,18,1
A,A,A,A,8,6,18,1
A,A,A,A,7,7,18,1
A,A,A,K,3,2,18,1
A,A,A,Q,3,2,18,1
A,A,A,J,3,2,18,1
A,A,A,T,3,2,18,1
A,A,A,9,4,2,18,1
A,A,A,9,3,3,18,1
A,A,A,8,5,2,18,1
A,A,A,8,4,3,18,1
A,A,A,7,6,2,18,1
A,A,A,7,5,3,18,1
A,A,A,7,4,4,18,1
A,A,A,6,6,3,18,1
A,A,A,6,5,4,18,1
A,A,A,5,5,5,18,1
A,A,K,2,2,2,18,1
A,A,Q,2,2,2,18,1
A,A,J,2,2,2,18,1
A,A,T,2,2,2,18,1
A,A,9,3,2,2,18,1
A,A,8,4,2,2,18,1
A,A,8,3,3,2,18,1
A,A,7,5,2,2,18,1
A,A,7,4,3,2,18,1
A,A,7,3,3,3,18,1
A,A,6,6,2,2,18,1
A,A,6,5,3,2,18,1
A,A,6,4,4,2,18,1
A,A,6,4,3,3,18,1
A,A,5,5,4,2,18,1
A,A,5,5,3,3,18,1
A,A,5,4,4,3,18,1
A,A,4,4,4,4,18,1
A,9,2,2,2,2,18,1
A,8,3,2,2,2,18,1
A,7,4,2,2,2,18,1
